paper_id,title,authors,year,venue,doi,pmid,pmcid,arxiv_id,source,has_pdf,pdf_path,abstract_snippet,citation_count,is_open_access,collected_at
pmid_21179161,Genetic history of an archaic hominin group from Denisova Cave in Siberia.,Reich D | Green RE | Kircher M | Krause J | Patterson N | Durand EY | Viola B | Briggs AW | Stenzel U | Johnson PL | Maricic T | Good JM | Marques-Bonet T | Alkan C | Fu Q | Mallick S | Li H | Meyer M | Eichler EE | Stoneking M | Richards M | Talamo S | Shunkov MV | Derevianko AP | Hublin JJ | Kelso J | Slatkin M | Paabo S.,2010,Nature,,21179161,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652793
pmid_23410836,Higher levels of neanderthal ancestry in East Asians than in Europeans.,Wall JD | Yang MA | Jay F | Kim SK | Durand EY | Stevison LS | Gignoux C | Woerner A | Hammer MF | Slatkin M.,2013,Genetics,,23410836,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652834
pmid_20448178,A draft sequence of the Neandertal genome.,Green RE | Krause J | Briggs AW | Maricic T | Stenzel U | Kircher M | Patterson N | Li H | Zhai W | Fritz MH | Hansen NF | Durand EY | Malaspinas AS | Jensen JD | Marques-Bonet T | Alkan C | Prufer K | Meyer M | Burbano HA | Good JM | Schultz R | Aximu-Petri A | Butthof A | Hober B | Hoffner B | Siegemund M | Weihmann A | Nusbaum C | Lander ES | Russ C | Novod N | Affourtit J | Egholm M | Verna C | Rudan P | Brajkovic D | Kucan Z | Gusic I | Doronichev VB | Golovanova LV | Lalueza-Fox C | de la Rasilla M | Fortea J | Rosas A | Schmitz RW | Johnson PLF | Eichler EE | Falush D | Birney E | Mullikin JC | Slatkin M | Nielsen R | Kelso J | Lachmann M | Reich D | Paabo S.,2010,Science,,20448178,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652866
pmid_22965354,Revising the human mutation rate: implications for understanding human evolution.,Scally A | Durbin R.,2012,Nat Rev Genet,,22965354,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652885
pmid_19805257,Out of Africa: modern human origins special feature: the origin of Neandertals.,Hublin JJ.,2009,Proc Natl Acad Sci U S A,,19805257,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652893
pmid_21868630,The shaping of modern human immune systems by multiregional admixture with archaic humans.,Abi-Rached L | Jobin MJ | Kulkarni S | McWhinnie A | Dalva K | Gragert L | Babrzadeh F | Gharizadeh B | Luo M | Plummer FA | Kimani J | Carrington M | Middleton D | Rajalingam R | Beksac M | Marsh SG | Maiers M | Guethlein LA | Tavoularis S | Little AM | Green RE | Norman PJ | Parham P.,2011,Science,,21868630,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652926
pmid_11726688,DNA sequences from multiple amplifications reveal artifacts induced by cytosine deamination in ancient DNA.,Hofreiter M | Jaenicke V | Serre D | von Haeseler A | Paabo S.,2001,Nucleic Acids Res,,11726688,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652935
pmid_23055938,The date of interbreeding between Neandertals and modern humans.,Sankararaman S | Patterson N | Li H | Paabo S | Reich D.,2012,PLoS Genet,,23055938,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652944
pmid_22513287,Ancient structure in Africa unlikely to explain Neanderthal and non-African genetic similarity.,Yang MA | Malaspinas AS | Durand EY | Slatkin M.,2012,Mol Biol Evol,,22513287,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652953
pmid_18692465,A complete Neandertal mitochondrial genome sequence determined by high-throughput sequencing.,Green RE | Malaspinas AS | Krause J | Briggs AW | Johnson PL | Uhler C | Meyer M | Good JM | Maricic T | Stenzel U | Prufer K | Siebauer M | Burbano HA | Ronan M | Rothberg JM | Egholm M | Rudan P | Brajkovic D | Kucan Z | Gusic I | Wikstrom M | Laakkonen L | Kelso J | Slatkin M | Paabo S.,2008,Cell,,18692465,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.652971
pmid_22891323,Generation times in wild chimpanzees and gorillas suggest earlier divergence times in great ape and human evolution.,Langergraber KE | Prufer K | Rowney C | Boesch C | Crockford C | Fawcett K | Inoue E | Inoue-Muruyama M | Mitani JC | Muller MN | Robbins MM | Schubert G | Stoinski TS | Viola B | Watts D | Wittig RM | Wrangham RW | Zuberbuhler K | Paabo S | Vigilant L.,2012,Proc Natl Acad Sci U S A,,22891323,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653006
pmid_11907576,"Remains of Homo erectus from Bouri, Middle Awash, Ethiopia.",Asfaw B | Gilbert WH | Beyene Y | Hart WK | Renne PR | WoldeGabriel G | Vrba ES | White TD.,2002,Nature,,11907576,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653027
pmid_23341637,"DNA analysis of an early modern human from Tianyuan Cave, China.",Fu Q | Meyer M | Gao X | Stenzel U | Burbano HA | Kelso J | Paabo S.,2013,Proc Natl Acad Sci U S A,,23341637,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653055
pmid_20336068,The complete mitochondrial DNA genome of an unknown hominin from southern Siberia.,Krause J | Fu Q | Good JM | Viola B | Shunkov MV | Derevianko AP | Paabo S.,2010,Nature,,20336068,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653065
pmid_21085596,Genomic runs of homozygosity record population history and consanguinity.,Kirin M | McQuillan R | Franklin CS | Campbell H | McKeigue PM | Wilson JF.,2010,PLoS One,,21085596,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653100
pmid_23823723,Great ape genetic diversity and population history.,Prado-Martinez J | Sudmant PH | Kidd JM | Li H | Kelley JL | Lorente-Galdos B | Veeramah KR | Woerner AE | O'Connor TD | Santpere G | Cagan A | Theunert C | Casals F | Laayouni H | Munch K | Hobolth A | Halager AE | Malig M | Hernandez-Rodriguez J | Hernando-Herraez I | Prufer K | Pybus M | Johnstone L | Lachmann M | Alkan C | Twigg D | Petit N | Baker C | Hormozdiari F | Fernandez-Callejo M | Dabad M | Wilson ML | Stevison L | Camprubi C | Carvalho T | Ruiz-Herrera A | Vives L | Mele M | Abello T | Kondova I | Bontrop RE | Pusey A | Lankester F | Kiyang JA | Bergl RA | Lonsdorf E | Myers S | Ventura M | Gagneux P | Comas D | Siegismund H | Blanc J | Agueda-Calpena L | Gut M | Fulton L | Tishkoff SA | Mullikin JC | Wilson RK | Gut IG | Gonder MK | Ryder OA | Hahn BH | Navarro A | Akey JM | Bertranpetit J | Reich D | Mailund T | Schierup MH | Hvilsom C | Andres AM | Wall JD | Bustamante CD | Hammer MF | Eichler EE | Marques-Bonet T.,2013,Nature,,23823723,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653158
pmid_19608918,Targeted retrieval and analysis of five Neandertal mtDNA genomes.,Briggs AW | Good JM | Green RE | Krause J | Maricic T | Stenzel U | Lalueza-Fox C | Rudan P | Brajkovic D | Kucan Z | Gusic I | Schmitz R | Doronichev VB | Golovanova LV | de la Rasilla M | Fortea J | Rosas A | Paabo S.,2009,Science,,19608918,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653172
pmid_21944045,Denisova admixture and the first modern human dispersals into Southeast Asia and Oceania.,Reich D | Patterson N | Kircher M | Delfin F | Nandineni MR | Pugach I | Ko AM | Ko YC | Jinam TA | Phipps ME | Saitou N | Wollstein A | Kayser M | Paabo S | Stoneking M.,2011,Am J Hum Genet,,21944045,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653197
pmid_17715061,Patterns of damage in genomic DNA sequences from a Neandertal.,Briggs AW | Stenzel U | Johnson PL | Green RE | Kelso J | Prufer K | Meyer M | Krause J | Ronan MT | Lachmann M | Paabo S.,2007,Proc Natl Acad Sci U S A,,17715061,,,EuropePMC_expansion,no,,,,,2026-03-18T20:49:01.653208
